(-57.26966137727685, -99.87056530906978)
(56.08611851170849, -99.84614902508706)
(65.02895583267215, -99.6294201379033)
(82.29933563384705, -97.97772907385982)
(85.92895627797722, -97.04694563265019)
(98.56758305552722, -93.72943929101108)
(99.95926144447662, -11.581303437120624)
(99.45710775696804, 26.336004851554364)
(98.44372891610018, 77.45082376271566)
(97.2230182524284, 94.32028344008418)
(95.80220193329808, 96.10123302947892)
(83.62918583195159, 99.64395284351116)
(-41.43935985956062, 99.997261830876)
(-69.29843114242178, 99.98682485937596)
(-79.5426728552197, 99.20774051738863)
(-89.08425777528994, 98.35330163850625)
(-98.99399475126354, 89.85674445072456)
(-99.33642646780329, 87.82430030520999)
(-99.52411728531206, -12.217172874051357)
(-99.1484898272412, -52.99860433779633)
(-98.83915402270951, -72.34645592130681)
(-98.30738014008982, -97.31071809273217)
(-85.81866793221258, -99.4744215048748)
