(0.3273204002182844, -9.99464163217476)
(1.0377950867943648, -9.946003285633152)
(1.494849401273485, -9.887640025178522)
(1.735386049955741, -9.848270673454248)
(1.7877125256582083, -9.838906642793434)
(2.470218176025205, -9.690099182301218)
(2.8896679582087854, -9.57339120120459)
(3.7396869134483297, -9.274413285452795)
(3.94938358869654, -9.187076208965202)
(4.344594434909761, -9.006913966290071)
(4.354697750821149, -9.002033520210487)
(4.795179909174008, -8.775320486378487)
(5.24119412867241, -8.516447857268302)
(6.740923274400293, -7.386470971218152)
(7.772522160170283, -6.291891549419926)
(7.8940087697799735, -6.138780460534231)
(8.868651867712627, -4.620282897108934)
(8.891632116090898, -4.575901912421298)
(9.543205784825284, -2.9878459378751794)
(9.781708968480217, -2.0780206100887635)
(9.944732754219785, -1.049900208185604)
(9.99031312475793, -0.44004962139447595)
(9.99483864728126, 0.32124821371167067)
(9.920636800059873, 1.257364498185705)
(9.90304909133422, 1.3891071573584546)
(9.477899864674354, 3.188951889760312)
(9.382337893944708, 3.460019601656784)
(9.22211592376689, 3.86685633151856)
(8.756871439744225, 4.828788935933305)
(8.21218963012343, 5.706131919163209)
(7.853892206276401, 6.190022391897367)
(7.597833368738028, 6.501763460853597)
(5.7651538958596475, 8.17086290161904)
(5.699737833331481, 8.21662878748272)
(4.912099699741549, 8.710411961543437)
(3.9125485110240357, 9.202823705194161)
(3.8420751639348927, 9.232467624350203)
(3.6685240102614767, 9.302791601779278)
(3.4599497461247304, 9.382363654980093)
(3.422112551129128, 9.396230397739536)
(3.050855186580146, 9.523249583546418)
(2.683098331071723, 9.633326701913527)
(2.5437924215629257, 9.671045451035736)
(2.1530092254566275, 9.765477524171496)
(2.1047711616293348, 9.775987845592562)
(1.7331476581712355, 9.848664843265587)
(1.6694861019131189, 9.859655985657863)
(1.5491689400587587, 9.879275054130098)
(0.8751373555071408, 9.961633129612633)
(0.43860614790495767, 9.990376601861412)
(-3.43473810679124, 9.391622550856487)
(-4.068468870209528, 9.13496365904846)
(-5.1034138940729825, 8.599718985279859)
(-5.92233374712447, 8.05766485947825)
(-6.196223038655262, 7.84900121386395)
(-6.351096984425367, 7.72421951360932)
(-6.996064037623065, 7.145284317749522)
(-7.22347331502056, 6.915304278712968)
(-7.879439725245739, 6.157469416588227)
(-8.66060208738063, 4.99939711205844)
(-8.787507587630689, 4.7728094868047135)
(-8.827551893681056, 4.69833242378272)
(-9.306951606953316, 3.6579573242219636)
(-9.482345910288359, 3.1757071712671543)
(-9.576015093139516, 2.880960766127196)
(-9.914815534631096, 1.3024718477717259)
(-9.958630812454954, 0.9086651425155223)
(-9.99964393420065, 0.08438713885516885)
(-9.994139358074932, -0.3423134402525895)
(-9.988811851090079, -0.47290358797793036)
(-9.952250988375074, -0.9760636579585281)
(-9.939323937738148, -1.0999271160878907)
(-9.900676462946258, -1.405918054533037)
(-9.355159312542359, -3.532845062687009)
(-9.068761104115762, -4.213973426171202)
(-8.9981504256922, -4.3627157730724635)
(-8.734813556499883, -4.8685759861776665)
(-8.441656506718513, -5.360824136508956)
(-8.25693097984208, -5.641195865605457)
(-8.10369210284678, -5.8591957043828735)
(-8.094825064849877, -5.8714399570700015)
(-7.928101150843512, -6.09468720624724)
(-7.7250498644407815, -6.350086975144786)
(-7.660746844481368, -6.4275156775202635)
(-6.709015176846896, -7.415464608292458)
(-6.454128924677301, -7.638338813095674)
(-6.4139092492342815, -7.672142343738607)
(-6.252872437637597, -7.803946839813304)
(-5.959044295153532, -8.030553597878425)
(-5.763472849832075, -8.172048746137564)
(-5.677067365643609, -8.232308675331868)
(-3.4542261580096607, -9.3844723692556)
(-3.2811574973646245, -9.446375256016877)
(-2.85906876374058, -9.582574069852155)
(-2.3435396987988795, -9.721513343104233)
(-1.5256079057848488, -9.882940884059096)
(-1.3016915129600357, -9.914918013029045)
(-1.165219657955909, -9.931881148539441)
(-1.0076449978826763, -9.949103052951155)
(-0.8575178608761024, -9.963165316217456)
